Timo;125;Raittinen;KOK;01;67;MEN;Helsinki;IN_RESERVE;283;296;579;1018;-439;0.2;0.2;0.1;2776.0;
Sirpa;328;Puhakka;VAS;01;60;WOMEN;Helsinki;IN_RESERVE;275;320;595;1513;-918;0.2;0.2;0.2;2774.308;
Nuutti;771;Hyttinen;PS;01;35;MEN;Helsinki;IN_RESERVE;89;246;335;499;-164;0.1;0.1;0.1;2711.625;
Yrjö;1006;Hakanen;SKP;01;64;MEN;Helsinki;NOT_ELECTED;653;718;1371;1622;-251;0.4;0.5;0.4;2709.0;
Perttu;51;Hillman;KOK;01;54;MEN;Helsinki;IN_RESERVE;156;420;576;0;576;0.2;0.1;0.2;2694.353;
Jan D.;209;Oker-Blom;RKP;01;41;MEN;Helsinki;IN_RESERVE;240;284;524;724;-200;0.2;0.2;0.1;2690.714;
Anu;658;Korppi;VIHR;01;37;WOMEN;Helsinki;IN_RESERVE;211;436;647;0;647;0.2;0.2;0.2;2687.138;
Sara;444;Paavolainen;SDP;01;57;WOMEN;Helsinki;IN_RESERVE;253;353;606;1817;-1211;0.2;0.2;0.2;2626.529;
Matias;116;Pajula;KOK;01;18;MEN;Helsinki;IN_RESERVE;107;464;571;0;571;0.2;0.1;0.2;2617.371;
Joonas;656;Kolehmainen;VIHR;01;35;MEN;Helsinki;IN_RESERVE;206;415;621;0;621;0.2;0.2;0.2;2597.567;
Jani (Wallu);354;Valpio;VAS;01;43;MEN;Helsinki;IN_RESERVE;151;428;579;0;579;0.2;0.1;0.2;2576.143;
Matti;42;Enroth;KOK;01;73;MEN;Helsinki;IN_RESERVE;209;333;542;1006;-464;0.2;0.2;0.2;2544.667;
Laura;691;Nordström;VIHR;01;36;WOMEN;Helsinki;IN_RESERVE;205;403;608;480;128;0.2;0.2;0.2;2513.774;
Jape;429;Lovén;SDP;01;43;MEN;Helsinki;IN_RESERVE;213;337;550;836;-286;0.2;0.2;0.2;2480.611;
Tuomo;96;Luoma;KOK;01;54;MEN;Helsinki;IN_RESERVE;161;375;536;0;536;0.2;0.1;0.2;2475.892;
Kukka;7;Eskola;FP;01;30;WOMEN;Helsinki;IN_RESERVE;160;257;417;0;417;0.1;0.1;0.1;2454.0;
